review_title,review_text,review_star,review_date,page
Nice product,Nice product,5.0 out of 5 stars,Reviewed in India on 6 March 2022,14
"first Iphone, having a great experience","Best value for money iphone right now. Go for starlight or pink, no finger prints at all",5.0 out of 5 stars,Reviewed in India on 8 March 2022,14
Smooth value for money,Good productCamera is superbSmoothness is of next levelFeeling proud and feel honor,5.0 out of 5 stars,Reviewed in India on 27 November 2021,14
Awesome,As expected,5.0 out of 5 stars,Reviewed in India on 15 March 2022,14
i think i got duplicate mobile....,i think i got duplicate mobile,1.0 out of 5 stars,Reviewed in India on 14 March 2022,14
Wow,First phone amazing,5.0 out of 5 stars,Reviewed in India on 9 March 2022,14
Worth the switch from using Android based smartphone,"Liking the device from all the aspects (battery life, performance, software)",5.0 out of 5 stars,Reviewed in India on 12 March 2022,14
Price too high quality below iPhone XR standard,Battery charging very slow not a good option to buy iPhone 13 face unlock below standard,1.0 out of 5 stars,Reviewed in India on 4 December 2021,14
Battery is draining from day 1,The battery has been draining significantly. Customer service were not that helpful and I'm losing my mind to resolve this. I'm so disappointed in myself for buying this phone. What a terrible experience,1.0 out of 5 stars,Reviewed in India on 12 March 2022,10
Upgraded it from iPhone x,"Performance are really brilliant <U+0001F929> , and have to say about the battery life… excellence",5.0 out of 5 stars,Reviewed in India on 26 February 2022,10
Not a good purchase,Not recommended,4.0 out of 5 stars,Reviewed in India on 15 December 2021,10
A perfect phone!!,"Too good, Screen display doesn’t feel like you are working with 60hz display, it feels like 90 hz , Phone os is so smooth, camera is excellent battery backup is good. Over all excellent phone",5.0 out of 5 stars,Reviewed in India on 24 February 2022,10
Nice,Nice product .fastest delivery by Amazon and thanks to seller for genuine product .,5.0 out of 5 stars,Reviewed in India on 18 February 2022,10
My first iphone experience,Really really awesome model to be in hands..The display has a great variation comparable to the android mobiles.,5.0 out of 5 stars,Reviewed in India on 1 February 2022,10
The premiumness you’ll feel it’s just awesome,Just go for it no need any explorer. Best of classRecommend to wait for any offerGot it for 73990,5.0 out of 5 stars,Reviewed in India on 12 December 2021,10
Broken phone and didn’t accept return,Gave scratched phone as and screen broken and also denied for return,1.0 out of 5 stars,Reviewed in India on 10 February 2022,10
Good camera and battery,Too good camera and battery life,5.0 out of 5 stars,Reviewed in India on 6 January 2022,10
Very good,All is well but siri doesn’t work maximum time. Its too much boring to turn on and off siri to make it listen.,4.0 out of 5 stars,Reviewed in India on 11 November 2021,10
What a phone... simply wahhh....,The media could not be loaded. I m a One+ user... 5t and 7pro.. Now First time iphone family... It's camera is superb...<U+0001F44C><U+0001F44C><U+0001F44C>,5.0 out of 5 stars,Reviewed in India on 10 March 2022,6
Battery toh la jvab. Ik hi dil hai Tim bhai kitni baar jito gye.,Battery toh la jvab. Ik hi dil hai Tim bhai kitni baar jito gye.,5.0 out of 5 stars,Reviewed in India on 6 February 2022,6
I loved it…Red color is awesome..,I’m happy with iPhone 13. It’s little bit heavy like iPhone 11 but it’s fine.,5.0 out of 5 stars,Reviewed in India on 13 December 2021,6
Good phone. Great camera. Amazing battery,"It’s a great phone. After my 6s plus, it’s an amazing upgrade but I wish I would have bought the pro version instead. I miss the features that phone has.",5.0 out of 5 stars,Reviewed in India on 13 December 2021,6
A beast!,This is my first iPhone and I must say it’s a beast!!! Battery life on normal usage goes for like one and a half days! UI is smooth and hassle free,5.0 out of 5 stars,Reviewed in India on 20 January 2022,6
First Apple Product,First iPhone and really good experience.Camera Awesome!Battery Awesome!Overall Awesome!,5.0 out of 5 stars,Reviewed in India on 12 February 2022,6
"Battery is amazing, the phone over all is great.","The media could not be loaded. Battery performance is great so far, phone itself is pretty good to use. Great buy.",5.0 out of 5 stars,Reviewed in India on 7 February 2022,6
Nice One,First thanks to Amazon for providing the original product. Battery backup seems to be good which was the main issue with iPhones. The only cons I have noticed is a low signal in some areas.,4.0 out of 5 stars,Reviewed in India on 3 February 2022,6
It's very <U+0001F4A5>,All of good <U+0001F60A>Fingerprint print reader is very fast <U+23E9>,4.0 out of 5 stars,Reviewed in India on 3 March 2022,6
Go for it..,"you really don't need to upgrade if you bought a new iPhone last year. But anyone with an iPhone 11 or older will find enough new parts and features to consider the new modelsScreenThe screen is notably better than last year's. It's the first iPhone with Apple's ProMotion display, a very high refresh-rate screen technology that was introduced on the iPad Pro in 2017.The screen can adjust to the content on the page to help save battery life and make things feel smoother. If you're just reading a website, for example, it might refresh less frequently and save battery life. But then if you're gaming or scrolling through a long webpage, it'll refresh really fast to make everything much smoother.BatteryBattery life is top-notch and lasts longer than any other iPhone on the market. Unless you're playing games for hours and hoursThat's thanks to a combination of a newer processor, a new screen and a bigger battery. I streamed nine hours of movies, for example, with just over 50% brightness, and still had more than half the battery left.CameraThe regular wide-angle, the zoom and the ultra-wide-angle lenses on the back now allow in more light, which means they're better at taking pictures in the dark.The HDR feature is also better in situations where your subject might have a lot of light behind them, which can normally make people in a picture look dark — all the iPhone 13 phones can keep color and detail even if the sun is right behind someone.You can get really close to an object, like a blueberry or a flower, and capture a lot of detail.",5.0 out of 5 stars,Reviewed in India on 25 September 2021,6
Touch not working in all the corners,"Reviewing after 2 months usage.+ve:1. Battery2. Display3. Camera-ve:1. Screen not responding in all the corners, I need to click three or four times2. Portrait mode pictures , one plus does better than this3. Phone got Stuck three times4. When I play PUBG/BGMI fire button takes some time to respond (not sure it’s BGMI issue ) and also with mobile data BGMI not able to handle extreme graphicsNote : these are all my experiences as new iPhone user who used Oneplus7 earlier.",3.0 out of 5 stars,Reviewed in India on 22 December 2021,3
Fraud!,Please don't buy iphone from Amazon as I have received the box with broken seal. You can only replace and there is no option to refund. So guys beware.,1.0 out of 5 stars,Reviewed in India on 25 February 2022,3
iPhone 13 is amazing.,"The media could not be loaded. Bought an iphone after a long time. I was using iphone 7plus till date. Decided to change and after going through all the reviews, unboxing etc I bought this and it is very very good. It fits very well. Design is excellent. Go for it. I thought of buying blue but bought white which is super",5.0 out of 5 stars,Reviewed in India on 21 February 2022,3
iPhone's are always good but this one is the best.,Just got this beautiful machine really happy no issues. Battery backup on iphone 13 is so good on a regular usage I'm getting 1 and half day easily. Camera is much improved with some new features. Iphone 13 has better display not a huge difference to notice but it's better. I like diagonal camera setup on iphone 13(personal choice).Really happy with this one.,5.0 out of 5 stars,Reviewed in India on 6 March 2022,3
Recieved damage product,"Have Dent on the edge after checking trying to replace the product but we unable i have try many ways to replace so please don,t buy fom online plateform this expensive phones .",1.0 out of 5 stars,Reviewed in India on 14 February 2022,3
"It's not a phone, it's iphone","The media could not be loaded. It's one point solution for all.Camera is best in class in every aspect.Battery is great.Display is LIT.Performance is great.Face id works without a glitch and instant. And Siri knows things <U+0001F60E>.The IOS is very simple to use and we'll optimised.The sound quality in both calls and media is next level.Although price is at higher range depending on the features, I could say it's still a great deal.But one point , I could never digest or justified apple's move not to include audio jack or power adaptor. It's just that they want people to shell out more just to be in the apple infra.",5.0 out of 5 stars,Reviewed in India on 28 January 2022,3
I got a used phone on Amazon,Phone delivered to me on 28 feb 2022 and the phone is already reseted on 25 Jan 22,1.0 out of 5 stars,Reviewed in India on 28 February 2022,3
Bakwas bakwas bakwas,no words,1.0 out of 5 stars,Reviewed in India on 18 December 2021,3
Worth the upgrade,"The phone is simply great, however costs much higher than the competition so not at all a value for money in india ,Camera - simply one of the best i have ever used in a phoneOs - buttery smoothBattery - best in class as compared to previous iphonesDisplay- one of the best display , but not a 60hz, you won’t notice the difference untill you get a iphone 13 pro for a whole day, however ios manage 60hz smoothlySecurity - the main reason i choose ios over anyother android, and yes its great and gives a peace of mind that my data is secured with ios.I also now enjoy my ipad more than before due to the eco system apple provided .Overall a great phone but a bit expensive to the functionality it offers , but would recommend iphone12 if you are looking for a great value for money. Not a great difference but that phone cost 30k less than iphone 13 on sales which is way better deal than this one.",4.0 out of 5 stars,Reviewed in India on 6 December 2021,3
It’s an all-round performer,"Best camera, best battery life, fast performance. The size can also be a plus for people who prefer compact phones but still want the best specs.",5.0 out of 5 stars,Reviewed in India on 19 December 2021,3
Bought it in 60k after exchange.,Worth every penny.,5.0 out of 5 stars,Reviewed in India on 15 February 2022,21
Cute little thing <U+0001F499>,Purely loved it <U+0001F499>,5.0 out of 5 stars,Reviewed in India on 17 March 2022,21
Awesome phone,Value for money,5.0 out of 5 stars,Reviewed in India on 18 February 2022,21
One of the best phone in this year,Decent battery life,5.0 out of 5 stars,Reviewed in India on 13 December 2021,21
Awesome,Great,5.0 out of 5 stars,Reviewed in India on 11 November 2021,21
Super,Good product,5.0 out of 5 stars,Reviewed in India on 3 March 2022,21
Good,Good,5.0 out of 5 stars,Reviewed in India on 13 February 2022,21
Just switch to i<U+0001F44C>,Awesome <U+270C><U+FE0F>,5.0 out of 5 stars,Reviewed in India on 19 February 2022,21
Nice phone,,5.0 out of 5 stars,Reviewed in India on 26 February 2022,21
Superb phone,,5.0 out of 5 stars,Reviewed in India on 5 March 2022,21
Performance Masterpiece Battery Improved,"Assuming you’re starting with a good foundation, I think the list of what really makes a big difference in phone upgrades is actually short. The first thing on the list is improved battery life. The second is an improved camera.This Two Factor really matter in our day to day life and regular useNo any other things are improved like a screen and chip performanceOverall Soft Update for 12",5.0 out of 5 stars,Reviewed in India on 25 September 2021,2
iPhone is amazing phone but I am Sock my mobile 4 time is hang,The media could not be loaded. iPhone is so good but My phone is four times hang so I am facing some difficulties please Solve problems,5.0 out of 5 stars,Reviewed in India on 4 December 2021,2
Loving it,"If you’re moving from iphone 11 or previous gen then it’s the best iPhone ever. From 12 to 13 , you won’t feel any significant changes. I moved from android to ios and I couldn’t be more happier.",5.0 out of 5 stars,Reviewed in India on 23 October 2021,2
"How are you asking it's review., though Apple didn't start it's sale yet",Price is very low than expected. I don't buy cheap phones<U+0001F61C>. Waiting for iPhone 20.......... To buy A S A P,1.0 out of 5 stars,Reviewed in India on 25 September 2021,2
Not a great phone!,"I switched from Oneplus 5t to iPhone 13. The reasons I switched was 1. Battery life of Oneplus 5t deteriorated rapidly and OnePlus hardly cared to explain this. I also suspected that OnePlus deliberately created a bug that led to sudden drop in battery life. 2. Wanted to get an Android phone but could not find even one decent phone that did not have heating issues. 3. Oneplus device also suffered from Screenburn.Having switched the battery life is sorted and the phone does not have any heating issues but iPhones lack basic features such as1. Display of date and time on status bar2. The rounded edges of the phone create a problem as some apps with options at the bottom of the screen are not properly displayed.3. Amazon App does not allow purchase if Kindle books on iOS devices.4. Typing is a problem as the screen is smaller compared to a OnePlus device.Overall, I am neither too happy nor too sad with the purchase though I must confess that price of the phone seems exorbitant vis a vis the value delivered.",3.0 out of 5 stars,Reviewed in India on 20 February 2022,2
Switching from android to IOS is pathetic!!,The media could not be loaded. I switched from Android to IOS.There are so many things you can not do on iphone.If you want a phone which have good looks and phone doesn’t do anything else then you can buy iphone.Battery life is fine.Charging speed is also fine.Camera quality is also fine but some of android phones with this range have better camera quality than this one.,1.0 out of 5 stars,Reviewed in India on 6 March 2022,2
7 years backward phone,"Phone, Email & SMS management extremely unfriendly, primitive and restrictiveUnnecessary animation on each actionVery bad user experience",1.0 out of 5 stars,Reviewed in India on 10 November 2021,2
Little over priced but ok,"This is my first IPhonePhone looks and feels premium in hand, definitely you cannot compare with Chinese android phones.Battery is sufficient for normal day to day use, if you use hotspot then it will be drained in 5 hours, I don’t play games so can’t comment.Security, OS and hardware comprised intact kudos to apple for that, this is where iPhone stands out from other phones.Volume and camera is amazing and you feel next level if you are switching from Chinese smart phones. Same Dolby and oled display feels premium in iphone.Didn’t explore much on apple eco system, how ever I understood that you need to spend some extra bugs than usual if you want to be a premium user of apple eco system.Nothing comes for free here, in fact you would loose the freedom of being an android user (less customisation and no side loaders)In a good way, if you respect your privacy, security and getting premium services in the market you should choose iPhone.New users are good to go for iPhone 13 with few extra grands with the current offers, you will get extra features that are missing in 12.12 users forget about upgrading to 13 it will be a joke for you, it won’t worth it.",3.0 out of 5 stars,Reviewed in India on 8 February 2022,2
Useless brick,"This is just a brick. Cannot be used for calling or internet access unless you have wifi. This device has serious network issues. My One Plus 9 Pro and Realme 7 shows 100% network bars and internet work fast enought to stream multiple HD videos at the same time (speed test result 45mbps - airtel postpaid). But this apple device shows only 1 bar and sometimes none. You can't do anything other than just looking at phone. I kept 9 pro and iphone 13 at the same place at the same time having airtel postpaid sim card inserted. OnePlus gets full coverage of same network while iPhone gets only 1 bar coverage which cannot be used for anything. When I checked online, found that a lot of people facing same network issue with iPhone 13 series. Seriously, I would not recommend anyone to buy this brick.",1.0 out of 5 stars,Reviewed in India on 1 February 2022,2
Over rated phone,"Apple making fools of images ridden duffers. Overpriced phone, don't have bsic features like 120 hz display, only 3100 mah battery.",1.0 out of 5 stars,Reviewed in India on 25 September 2021,2
Satisfied <U+0001F60A>,"I was so afraid to buy this costly phone from online but thanks to Amazon, i got it with good offers, got this genuine, india made iPhone & also verified by Apple website. I am very happy by upgrading from iPhone7 to iPhone13. Using dual sim another extra new experience from iPhone, but always on outgoing call e-sim network not available. But I am satisfied with this purchase. As apple says ""there is no phone like iPhone"".",5.0 out of 5 stars,Reviewed in India on 22 February 2022,5
Good experience.,"I was not sure whether to buy from Amazon or not as I was more willing to buy it directly from Apple online store. But because of 11k discount, I ordered it from Amazon and the product received is good and I have verified the warranty on Apple website using serial number.",4.0 out of 5 stars,Reviewed in India on 28 February 2022,5
Headset not working of my iphone,Headset of my iPhone is not workingWhat can i do,1.0 out of 5 stars,Reviewed in India on 6 January 2022,5
"Awesome phone , thanks Amazon for awesome delivery","iPhone 13 awesome phone , screen ultra clear, sound very clear too good , Amazon delivery was awesome as always , iPhone rocks.Phone is having 60hz but it doesn’t look like that , easily compare to 90hz phone kudos to Apple",5.0 out of 5 stars,Reviewed in India on 27 February 2022,5
First Flagship Phone,"Regarding the phone. Amazon delivered it the same day, verified and it was a genuine product, been using it for 4 days now. The battery life was my main concern and in this phone it’s s impressive, we can easily get through the day with some percent left. A full charge takes around 1 and half hour. Performance and Camera is reliable and consistent. Had to learn gesture’s as I have migrated from Android Oreo to iOS 15. Thus, I am Happy with the purchase.",5.0 out of 5 stars,Reviewed in India on 4 March 2022,5
Front camera wasn’t working. Got a defective piece.,Front camera wasn’t working. Got a defective piece.,1.0 out of 5 stars,Reviewed in India on 30 December 2021,5
Superb,Initially i was worried about this costly phone to order online but then i look up the reviews and then i just ordered this phone.Today morning i received my phone. And then i was happy to get this genuine phone delivered by the seller. I am totally happy with the purchase and i can now recommend this phone to anyone who wants to buy this online by applying the offers you are get.,5.0 out of 5 stars,Reviewed in India on 28 February 2022,5
Good,I liket Apple phones I use in 12 but don't different small changes byclone 15.and Touch and Tha Mobile is more than small in 12,5.0 out of 5 stars,Reviewed in India on 10 March 2022,5
Beast in the House,Everyone is a Gangster until a real Gangster comes into the room.Loved the product.,5.0 out of 5 stars,Reviewed in India on 1 March 2022,5
Boring yet functional. Better than android flagships currently on sale in India,Go for it guys,5.0 out of 5 stars,Reviewed in India on 14 November 2021,5
Very responsive,Very sharp display,5.0 out of 5 stars,Reviewed in India on 21 November 2021,22
Camera fon only,,5.0 out of 5 stars,Reviewed in India on 3 March 2022,22
Nice one,,5.0 out of 5 stars,Reviewed in India on 1 March 2022,22
Good color in night very finising,,5.0 out of 5 stars,Reviewed in India on 26 November 2021,22
Ok,Ok,5.0 out of 5 stars,Reviewed in India on 19 January 2022,22
Same as iPhone 12,No big upgrades at all!! It’s the same as iPhone 12 except that they changed the camera designed! Apple STOP FOOLING US,1.0 out of 5 stars,Reviewed in India on 26 September 2021,22
Don’t buy this phone,You can buy two to three Samsung/Other best mobiles with this specifications.. not up to the mark. Only camera got changed compared to iPhone 12,1.0 out of 5 stars,Reviewed in India on 26 September 2021,22
One of the best phones out there right now,So I ordered this phone from apple’s official website. And have been using this for the past 1 week and trust me it has one of the best batteries you will find on any phone. I am a moderate user when it comes to cellphones i.e the basic Instagram Facebook WhatsApp YouTube and Netflix. This phone if charged fully lasts up to 24 hours if used moderately without any heavy gaming.The reason I am writing this review is because of the useless comments of people that are rated high but can’t actually afford this phone.Coming from one plus 6t this phone is a huge jump (I love my one plus… still using it as my work phone) but it is obviously a lot to adjust to since we are completely switching to a different OS seems like shifting to a different nation all together.Anyway.. if you do have a good enough budget you should definitely go for this beauty,4.0 out of 5 stars,Reviewed in India on 21 October 2021,22
Not good,Very expensive and not working well as I was thinking about it so I think this is my wrong selection.,1.0 out of 5 stars,Reviewed in India on 26 September 2021,22
wastage of money,wastage of money. better go for Iphone 12 pro. amazon Great indian sale also ll be there at 4th oct just grab ip12pro with huge discount. and iphone13 assembled in China but 12pro assamble in India,1.0 out of 5 stars,Reviewed in India on 26 September 2021,22
It’s a great phone .. only the Batery heats up a lot whiles charging,,5.0 out of 5 stars,Reviewed in India on 2 February 2022,17
Outstanding,My first iphone and there is nothing better…Go for it..Absolutely Fabulous,5.0 out of 5 stars,Reviewed in India on 10 November 2021,17
"It’s an amazing phone….First time IPhone user, great user interface…Sexy looking phone.","It’s an amazing phone….First time IPhone user, great user interface…Sexy looking phone.",5.0 out of 5 stars,Reviewed in India on 19 November 2021,17
A normal iPhone.,"Excessive heating while setup, backup n restore",4.0 out of 5 stars,Reviewed in India on 24 January 2022,17
Nice,Nice phone and battery backup improve other iphone,5.0 out of 5 stars,Reviewed in India on 8 March 2022,17
Overheating,Heating heating heating. Not expected from a phone with such price,1.0 out of 5 stars,Reviewed in India on 25 February 2022,17
Best camera,Great filling,5.0 out of 5 stars,Reviewed in India on 6 January 2022,17
Overall Quite good,"Value for money , quite good performance",5.0 out of 5 stars,Reviewed in India on 4 March 2022,17
Excellent grab it,The media could not be loaded. Camera is superb,5.0 out of 5 stars,Reviewed in India on 12 February 2022,17
Excellent,As Expected iphone rocks.. High price,5.0 out of 5 stars,Reviewed in India on 12 February 2022,17
apple always best n perfect,apple always the best n perfect,4.0 out of 5 stars,Reviewed in India on 10 December 2021,11
Good one but camera and call record,Good one but photos taken in this camera changing the originality. Call recording feature for Indians is needed for free of cost,4.0 out of 5 stars,Reviewed in India on 8 January 2022,11
Superior video and photo quality,The media could not be loaded. This is a great mobile knock knock Apple ka to Naam Hi Kaafi Hai The great photo and video quality specially for slow motion video,5.0 out of 5 stars,Reviewed in India on 13 March 2022,11
Great experience,Good display,5.0 out of 5 stars,Reviewed in India on 28 January 2022,11
Expection was high.,Quite handy n nice in look,5.0 out of 5 stars,Reviewed in India on 28 January 2022,11
PREMIUM PHONE,Best in offering,5.0 out of 5 stars,Reviewed in India on 15 November 2021,11
Touch is not up to the mark and software is too cumbersome and has snob value,Battery drains fast and it should not be priced more than Rs 60000,3.0 out of 5 stars,Reviewed in India on 12 November 2021,11
"Please buy, nice phone.","Finally, I gift this mobile to my lovely wife.But it's very difficult to live with one kidney!!!",5.0 out of 5 stars,Reviewed in India on 16 March 2022,11
Awesome experience,Experiencing 1st iphone usage.. battery life is bit down otherwise worth every penny..,5.0 out of 5 stars,Reviewed in India on 19 January 2022,11
"Connectivity is good,","iPhone 13 is good connectivity and sound clarity, good experience, photo quality is good,",5.0 out of 5 stars,Reviewed in India on 16 March 2022,11
Android are way better than iOS,Android are way better than iOS,1.0 out of 5 stars,Reviewed in India on 26 March 2022,39
Beautiful Design,Nice product and gorgeous...!Very nice camera quality.Display is too good...Body is also good.Is has many hidden features than iphone 12 and 11 and all old products...,5.0 out of 5 stars,Reviewed in India on 25 March 2022,39
iPhones are the best!,Will give my score for each specs out of 51. Performance - 5/52. Camera - 5/53. Battery life - 5/54. Charging speed - 2/55. Sound quality - 4/5,5.0 out of 5 stars,Reviewed in India on 30 March 2022,39
Solid phone overall,"I was looking to buy a new smartphone after my POCO F1 started having issues. If you are someone like my who's looking to move from Android to iOS, don't think twice and go ahead with the purchase. I got the phone on release day and the experience so far has been hassle free. If you have any other Apple devices, then the decision is a no brainer since sum of the each part is greater than the individual ones. One thing Apple should work on is adding 120Hz screen and switch to Type C port. I'm more than happy with my purchase.",5.0 out of 5 stars,Reviewed in India on 26 March 2022,39
Its i just a robbery,Its better to buy samsung or nokia,1.0 out of 5 stars,Reviewed in India on 20 March 2022,39
Cute phone,iphone 13 pink = cute,5.0 out of 5 stars,Reviewed in India on 4 April 2022,39
Nice iPhone,As this iPhone offers well stable iOS and one of the best hardwares this is a nice phone to buy,5.0 out of 5 stars,Reviewed in India on 21 March 2022,39
Wonderful purchase,Worth product,5.0 out of 5 stars,Reviewed in India on 27 March 2022,39
"Great product, I recommend.","Great product, wonderful experience.",5.0 out of 5 stars,Reviewed in India on 8 April 2022,39
Apple is Apple,Very Nice mobile,5.0 out of 5 stars,Reviewed in India on 26 March 2022,39
Best Phone,,5.0 out of 5 stars,Reviewed in India on 10 October 2021,28
IPHONE 13,TOTALLY DIFFERENT FROM IPHONE 12 BETTER CAMERA FASTER PROCESSOR AND BETTER BATTRY LIFE A MUST BUY. THE BEST PHONE EVER MADE.,5.0 out of 5 stars,Reviewed in India on 5 February 2022,28
All gud,Gud product and performance both are perfectly work service is also Gud pictures thanks apple for Gud gadgets thanks thanks,5.0 out of 5 stars,Reviewed in India on 13 March 2022,28
First most important camera it is very clearly lens and nice product,I didn't use the product but this is very hard security device and it's my dream..And you also purchase the iphone13,5.0 out of 5 stars,Reviewed in India on 13 March 2022,28
iPhone nice,This product is duplicate of iPhone 12 only camera design changed. Very low quality of this product Buy Samsung mobile phone,5.0 out of 5 stars,Reviewed in India on 12 February 2022,28
