review_title,review_text,review_star,review_date,page
Best phone,I think this is the best phone of 2022 it has the best camera best display and best premium filing,5.0 out of 5 stars,Reviewed in India on 12 March 2022,2
A Worthy SMARTPHONE OF THE YEAR <U+0001F929>,Loved <U+0001F4AA><U+0001F90D>S22<U+0001F498>ULTRA<U+0001F60E> (I Loved it more than iPhone 13 Pro Max 1TB Variant in Android). A Worthy SMARTPHONE OF THE YEAR! <U+0001F929>,5.0 out of 5 stars,Reviewed in India on 18 March 2022,2
The Best Smartphone of the year 2022,The display on this device is the best i ever experienced and the battery is also very good despite the heavy processor. And the camera are top of the line.,5.0 out of 5 stars,Reviewed in India on 5 April 2022,2
It's the best Flagship phone and a iPhone killer but,It's a value for money device but still I'll use it as my secondary phone as i still prefer Google Pixel 6 pro as my main device. But if you're a note lover just go for it.,5.0 out of 5 stars,Reviewed in India on 31 March 2022,2
Godzilla of Android phones,Impressive specs. Lots of features. Superb Camera. Awestruck by the screen.,5.0 out of 5 stars,Reviewed in India on 28 March 2022,2
It's the defination of premium.,Pro's:The display ( probably there is no display better than this)The Camera ( Filled with features)The speakers (Truly amazing)Cons:The battery lifeIt'll be a pain finding good accessories.The price tag,5.0 out of 5 stars,Reviewed in India on 28 March 2022,2
Not good,Battery draining so fast.im loosing 2 percent in 2 mints,1.0 out of 5 stars,Reviewed in India on 26 March 2022,8
Heats up!!!! Low battery life as compared to premium range phone,Well done samsung on the camera quality and the combination of glass metal and matte finish is superb. The only problem is it scared me as it is heating up while using and also battery life needs improvement.,4.0 out of 5 stars,Reviewed in India on 28 March 2022,8
everything is good except battery life,"battery life is very poor on this phone, if you used your mobile for watching YouTube or videos, you have to charge it for 2 or 3 times in a day.",2.0 out of 5 stars,Reviewed in India on 6 April 2022,8
Good,Everything good except for battery life.,4.0 out of 5 stars,Reviewed in India on 26 March 2022,8
The best money can buy !,Excellent device giving all round performance,5.0 out of 5 stars,Reviewed in India on 6 April 2022,8
Great Camera + Software,The following are the pros and cons :+Camera (especially video and zoom )+Display+Essential Tools in ONEUI not present in Stock Android and even iOS-Shutter speed is slow . Fast moving objects get blurry-Battery backup is average .,4.0 out of 5 stars,Reviewed in India on 28 March 2022,8
Camera and display are top notch.,"Value for money, go for it.",5.0 out of 5 stars,Reviewed in India on 28 March 2022,8
Not value for money product.,"Fingerprint sensor does not work properly. Battery life is very poor and drained out so fast , worried about battery performance once phone will get old as battery life is so poor in the initial days.",2.0 out of 5 stars,Reviewed in India on 8 April 2022,8
The best phone for photography...,"I bought the Phantom Black 512 GB variant of S22 Ultra. I pre-booked the device along with the Watch 4 offer. My net cost after all discounts and offers for the combo was Rs. 1.14 lakhs.RATINGS: OVERALL 9/10Camera: 10/10 (the best photography on a smartphone; for videos however, iPhone 13 Pro would be best though).Software: 9/10Display: 10/10Battery: 8/10Charging speed: 8/10Sound and Haptics: 7/10Performance: 9/10Features: 9/10Call quality: 8/10Heating: 10/10 (didn't see any heating issue with my limited use so far; haven't played games yet)Ultrasonic Fingerprint Scanner: 10/10 (it is impressively fast and accurate)Face Unlock: 9/10 (it is superfast in well lit environments, but doesn't work in dark environments)Here's my review after 2 days of use:CONS1. This is a 2 handed phone. It is big and you'll be uncomfortable using it with one hand. I wish the phone was slightly narrower and came with a grippy sandstone case.2. No pre-installed screen protector. I don't think you'll find a perfectly fitting screen protector either due to the curved edges.3. Battery life is just okay. I get about 5 to 6 hours SOT on a full charge.4. Charging speed is just okay. I bought the Samsung 45W Travel adapter and it takes about 1.5 hours to fully charge the device. This is pretty slow compared to what we see with OnePlus/ Xiaomi/ Oppo/ Vivo phones.5. No charger or earphones in the box. Only the phone and a Charging cable (tpye C to type C) is provided.6. Phantom White in 512 GB is not available in India (only 256 GB is available). I wanted it, but had to settle with the Black option. Some reviewers say that the Black variant gets scratched easily for some reason, so keep that in mind.7. OneUI doesn't use Material You theme of Android 12 in it's full glory. Some people may like it, some would prefer the stock Android feel as seen on Pixel and Motorola devices. It's not bad though, but just not a refreshing change. So putting it in CONS section.8. Status bar icons are not too customizable.9. Curved Display: This has no practical use. They only look good on marketing materials. When you are actually using the phone, there is absolutely no benefit. On the contrary, content gets bent at the edges and not great especially when watching videos or photos.PROS1. The best camera on a smartphone for photography. For videos however, iPhone 13 Pro is best. I bought this phone primarily for 2 reasons: the cameras, and the S-Pen which comes with it's own housing.2. S-Pen: Only phone with the pen feature.3. The best Display on a smartphone. I have kept the default FHD+ resolution (120 Hz adaptive refresh rate) just because there is hardly any difference you'll notice between FHD+ and WQHD+ on a small screen, and also because there is hardly any content that is of such high resolution. So I switched back to the default setting to prolong battery life.4. Feature rich software: This has both plus and minus points. Minus because more and more features means more chance of bugs and device slowing down due to bloatware. It also consumes battery. On the positive side, you can do a lot of things, although much of it is fancy, non-essential stuff.5. One handed use option (software feature) is very nice.6. Switching between light and dark themes is very smooth along with adaptive pallette selection.7. Phone has built-in call recording feature (atleast in India) without the stupid voice announcement.8. Performance is very good. No heating issues or throttling so far.9. This is the first time that Samsung has brought the Snapdragon chip model to India. Based on reviews, it is better than the Exynos variant just as in previous years.10. Both Face Unlock and under display ultrasonic Fingerprint scanner are SUPERFAST. Although in dark environments, face unlock struggles to unlock the phone. Using the Fingerprint is better in dark environments.I got two cases: Spigen Thin Fit and Caseology Parallex (a Spigen sub-brand). They fit perfectly, without adding bulk to the device.I haven't found a screen protector yet that would fit perfectly without bubbles at the edges.So that sums up my experience with the phone over 2 days of use. Hope this helps you with your choice of smartphone.EDIT: I had pre-booked the device on the 5th of March and it was delivered to me on the 17th of March, even though deliveries began on the 12th itself. My complaint is w.r.t the fact that the exact same variant was available with 1 day delivery to my pincode starting from the 12th. So anyone who ordered between 11th to 15th would have received their delivery within a day, earlier than me. This is unfair because seller has to service orders on a first-come-first-served basis. I can't accept someone ordering upto 10 days after me to get his order before me.But I will keep this in mind next time I want to pre-book on Amazon. When I enquired about it, customer service told me that I got it at a discount. That's a terrible explanation because there was no indication of that when I pre-booked the device. The offline stores were offering pretty much the same deal. Had I gone with an offline purchase, i would have got it much earlier for the same price, plus I need not have worried about the product getting damaged during transit. I mean I can inspect the box and make a decision before purchase at an offline store. The box I received had a few minor damages, although everything inside was fine.Expect delays in deliveries if you pre-book an item on Amazon, even if the item is in stock and available for delivery to your pincode by the same seller.",5.0 out of 5 stars,Reviewed in India on 4 April 2022,8
Awesome phone,,5.0 out of 5 stars,Reviewed in India on 29 March 2022,8
Best of Galaxy S+ best of Galaxy Note,"I am always a Samsung galaxy Note user,as I was,the stylus is always my love ..and I am waiting for the day when Note meets the galaxy of S series.And in S22 Ultra that happens,happens to my joy.So I have not missed the chance to grab one..Good battery life,better camera,best stylus ever..gorgeous display,customizable and and almost user-friendly UI...and so on.It is really my dream come true..",5.0 out of 5 stars,Reviewed in India on 8 April 2022,7
Hitting,This phone is very hitting aftar 15 mnits,1.0 out of 5 stars,Reviewed in India on 9 April 2022,7
Camera Heating Issue,"Overall good spec and also performance. But only issue, while using camera, we feel heat more.",4.0 out of 5 stars,Reviewed in India on 29 March 2022,7
To good,Good,5.0 out of 5 stars,Reviewed in India on 6 April 2022,7
5 star experience,"Coming form Oneplus devices for the last 5 years, S22 ultra is truly a 5 star experience. Everything about this phone feels premium. There are so many settings and customization options that I am yet to discover them all. Plus I got the Watch-4 for almost nothing.....one extra star for that.Initially the phone will heat up a bit during charging and battery would seem like discharging within no time. Just give some time, let the phone learn your habits and suddenly everything will start falling in place.",5.0 out of 5 stars,Reviewed in India on 5 April 2022,7
"It's S21-Ultra--""Stupendous 21-Ultra""","It's a very well balanced product.It can do everything an android phone could do and then better them.It's everything S21 ultra, plus better battery, plus S-pen, plus better cameras, plus better processor and then some....",5.0 out of 5 stars,Reviewed in India on 8 April 2022,7
Mr. honest phone of the century..,"The phone is much smarter than it looks in the picture, elegant and classy looks, this being the top class with latest features will never let you down in coming years.. as samsung made it clear for free android and security updates, and do not forget the S Pen with galaxy, thanks Samsung it's a bold move and really fulfilled my dream of getting a S Pen.This is my second galaxy phone.. and both from Amazon.. thank you Amazon never gave me a reason to doubt....",5.0 out of 5 stars,Reviewed in India on 5 April 2022,7
Amazing Phone. Battery backup could be better,Design and display is great 10/10Extremely fast. Good space.Camera 10/10Battery 8/10. Could be betterPerformance 10/104 years of OS updates and 5 years of security updates.Battery backup is not upto the mark.Charger should be included in pack.,5.0 out of 5 stars,Reviewed in India on 28 March 2022,7
Good,excellent,5.0 out of 5 stars,Reviewed in India on 20 March 2022,7
Not impressive,"Camera not impression upto to the mark as 1 lakh budget mobile, battery pathetic, many youtuber creat fake and paid promotion for it , save money for future in your bank account",3.0 out of 5 stars,Reviewed in India on 20 March 2022,7
"It's one of the best products you can buy,But it's not perfect",This Smartphone is everything you'll ever need a great camera a great display great performance and clean android experience.The one mark this missed is battery if you use this for performance then expect below average battery.But if you use it normally it will last a whole day easily.Maybe a future update can fix this But buy this thinking that this would give less battery than most Smartphone available.,5.0 out of 5 stars,Reviewed in India on 13 March 2022,4
A Great Flagship phone from Samsung,A phone u can always trust upon. A great camera with super fast response time.,5.0 out of 5 stars,Reviewed in India on 6 April 2022,4
The best android experience money can buy!,"I have been an android user for as long as I can remember.And in all my previous phones one thing was different from this one.They were all budget friendly high end phones, the likes of one plus and such!And I have to say the experience I had with those so called flagship killers does not even compare to the awesomeness that is this phone!My only issue is with the battery life which is average.Otherwise all in all a great phone for experienced android users and novice alike.",5.0 out of 5 stars,Reviewed in India on 28 March 2022,4
Best smartphone by miles!,"This has been the best buys ever, Samsung has nailed it to the point where it's really getting way too much for any other brands to even catch up!",5.0 out of 5 stars,Reviewed in India on 28 March 2022,4
Not Worth The Price,"It's way too costly in return what you get.Pro'sPowerful DeviceCamera quality is unmatchableBest DisplayCon'sBattery optimisation is pathetic - Doesn't last a day even with avg use. On Screen time: 2-3 Hours only. You will have to charge it twice a day.A bit slippery in hands if used without case.Finger Print Sensor: There is no match to the physical finger print sensors used on S9 series on rear side. camera module supported finger print sensors are buggy and doesn't work always. Accuracy rate is not more than 70% on this one. Also the position is not ergonomic, side mounted or rear mounted finger print sensor would have been more easy to reach out while maintaining your grip on phone to hold it.No SD Card - 2 mini slots + eSIM support literally gives you an option to have 4 SIM's at the same time (not sure whether all can work) but its a sheer wastage of precious space on the phone design which could have been utilzed otherwise for an SD card slot. It's a complete foolishness to provide 2 physical SIM slots along with 2 eSIM card support.Bloatware - Not much, but there are unnecessary apps that you can get rid of, you can't disable them. Example: Google Messages & Samsung SMS app. Both are hard coded and you can't disable Samsung SMS app.Facebook app installer and Facebook services, Microsoft Swift Keyboard + Samsung Keyboard.In nutshell there are few apps that are a substitute to each other and not allowing to uninstall/disable them is a complete foolishness again that will sip battery and occupy storage on phone that doesn't have an SD card.",2.0 out of 5 stars,Reviewed in India on 31 March 2022,4
Beyond expectations. A true flagship. Samsung has finally nailed it.,"Pre-Ordered it on 3rd March 2022.Received it as promised on 11th March alongwith the Galaxy Watch 4, 44mm.Had been using the One Plus flagships since 2017.Initially , I was skeptical about Samsung devices due to the bloatware and other issues.However, I decided to take the leap to this device after much deliberation and narrowed doewn to the iPhone 13 pro max and S22 Ultra.I already have the Tab S7Fe and am very happy with the performance.Coming to the smartphone, the device received was the phantom black 12gb ram,256 gb variant.Amazing finish and build quality.I found it to be a bit heavy and bulky initially, but after a while, got used to it.It is a large device and not advisable for people with small hands.I would like to break up my review in two parts.Pros and Cons.Pros:1. Amazing performance from the SD 8Gen1 chipset.No lags or glitches whatsoever. A true flagship with industry leading processing power. The RAM plus feature is good.2. Amazing battery life. - some people will complain about mediocre battery life. But I have had no issues so far. The battery needs to optimise the apps. And after about 1 week of use and 2 updates later, the battery performance has improved. Getting almost 2 days of battery life with the 120hz adaptive mode and QHD+ resolution always on.3. Stunning display.-Samsung has always been the unbeaten champion of display tech and has once again nailed it with this QHD+ display.The colour reproduction and accuracy is immaculate and precise. The superbright screen is easily readable in direct sunlight and no screen bleeding or inconsistent color observed.The adaptive brightness works flawlessly.4. Virtual RAM works wonders. The already adequate 12 gb of ram is complemented by the virtual ram feature and is a boon for multi tasking and gaming.5. S-Pen features. I have always been a die-hard fan of the S-pen and have craved to use a flagship device having the feature for my daily work and gaming use. The S-pen is very useful in jotting down notes,as a magnifier, as a doodle, as a selfie stick and adds to the convenience.6.Super versatile camera performance.The camera performance is absolutely spot on.Be it point and shoot, portrait mode ,selfie, video recording, pro-mode or the slow motion shooting,Bring it on. The versatility offered is unbelievable. Apple needs to upgrade from the 12 mp hardware and learn to deliver better hardware in lieu of tweaking the image post capture like Samsung. Details captured and the stunning portraits are proof of Samsung image processing with optimised hardware and software experience.7. Valie for money and bang for your buck.I pre ordered the S22 Ultra and the Galaxy Watch4, 44mm and got a very good deal on Amazon for <U+20B9>.1.08 lakhs.Had I opted for the apple ecosystem, the total cost would have gone up to <U+20B9>.1.50 lakhs.The Galaxy ecosystem is evolving and the level of customisation is wat better than iOS ecosystem, although there is a huge scope of improvement.8. Samsung updates: I was concerned about the android updates as Samsung was notorious for non-updation of their old flagships. However, I was relieved to find out that Samsung has promised 4 years of updates. So that is a real peace of mind. And my device has already received 2 software ,firmware and security patch updates via OTA.Cons:1. One UI. The most irritating part is Non availability of Google voice assistant. Everytime I try to use the voice assistant, the Bixby routine assistant is prompted. Samsung must go ahead and drop it's Bixby assistant which is not as optimised and versatile as Google assistant.2. Curved screen. In a way the screen is immaculate and accidental touches are avoided if we switch on the accidental touch option. But curved screens are a headache and prone to accidental touches. I so miss the flat screen on my One Plus 7T.3. App drawer horizontal navigation.The app drawer just cannot be modified to scroll vertically. I downloaded the good lock app and the home up drawer customisation is not up to the mark. Samsung needs to optimise this.4. The Galaxy app store needs to be synchronized with Google Play store so that unnecessary pop-ups and useless apps are not recommended.5. Heavy animations consume battery life and need to be disabled manually.6. Option of 4k video @30fps needs to be enabled manually.All said and done, I am fully satisfied with my purchase and I must thank Samsung for making this amazing device as a combination of the note and s series and also kudos to Amazon for facilitating my purchase.Thanks and regards.",5.0 out of 5 stars,Reviewed in India on 7 April 2022,4
Very Poor Performesance,"Nothing like flagship in it. heating issue, charging issue, battery draining, camera is not as that level. showing fake charging time.",1.0 out of 5 stars,Reviewed in India on 20 March 2022,4
Never Regret,The media could not be loaded. From a kid I wanted a S series Flagship. As an adolescent I wanted a note series. Now I got both <U+0001F606><U+0001F37E><U+0001F37E><U+0001F37E>,5.0 out of 5 stars,Reviewed in India on 22 March 2022,4
One the most powerfull smartphone in galaxy. Everything top notch.,The media could not be loaded. One the most powerfull smartphone in galaxy. Everything top notch.Top processor best in class battery life superior camera setup,5.0 out of 5 stars,Reviewed in India on 6 April 2022,4
Excellent,"Fingerprint reader very fast, battery life excellent and value of money",5.0 out of 5 stars,Reviewed in India on 28 March 2022,4
Superb phone...,"Value for money and without second thought, plz purchase it.. Ignore all negative reviews.. Watch 4 is also performing good...",5.0 out of 5 stars,Reviewed in India on 22 March 2022,3
Amazing Phone,Amazing phone with a bit of price. Loved everything disappointed absence of power brick as it costs 110000 and there's no power brick otherwise loved the camera and the night mode,5.0 out of 5 stars,Reviewed in India on 28 March 2022,3
Samsung galaxy s22 ultra,"Samsung galaxy s22 ultra very nice phone camera result is very nice,bettry life very good,gaming performance very coolOnly one issue where after the tempered glass fixing fingerprint not working and before screen fingerprint too hard open",5.0 out of 5 stars,Reviewed in India on 29 March 2022,3
More to uncover!?!?!?,"Samsung, with this behemoth of a phone, teases other smart phone manufacturers with the best display, best UI, best design, best Performance, best camera and the best AI (Not to mention the power of a pen in one's Hand)... There are complaints about the battery but believe me guys, when you own one, you would literally sense the phone adopting to your lifestyle and optimizing the battery so much that you would rule out those complaints... This the best phone money can buy right now... And it is so good, I am considering setting up a Samsung Ecosystem around me... I am wondering what Samsung has in the store for us, in the future...",5.0 out of 5 stars,Reviewed in India on 28 March 2022,3
Beast! Go for it!,"Used Samsung Note 9 last...after that waited for a good Note but samsung kept sending Exynos to India so had to leave the note series after using it for 3 years...went to apple 13 mini but still missed my note and the moment this phone was launched, I knew I had to get back to it! great camera good battery extraordinary screen and the useful spen! get it in no cost emi and get total care warranty from samsung repair centre and be tension free for 2 years...any kind of damage is covered in it! 10k looks a big amount at the beginning but within 2 years even a phone broken into half shall be repaired!",5.0 out of 5 stars,Reviewed in India on 6 April 2022,3
Best in android,Best camera and speed,5.0 out of 5 stars,Reviewed in India on 28 March 2022,3
Best of Samsung,"Firstly, coming from iPhone, I found camera to be way too superior compared to iPhone. Especially when it comes to zooming clicks.When it comes to ease of use, it's good overall. But OS smoothness is not that good compared to OnePlus's Oxygen OS. Apps download and installation takes a lot of time when compared to iPhone and OnePlus.There have been several events where I found apps close down automatically when you start using them. Maybe a software update might help on this. There have been events where the phone has lagged as well.Earlier I had OnePlus 7T Pro 2 years back and that phone was damn smooth and never did it lag at all not did any of the apps crashed u like Samsung Galaxy S22 Ultra.These were few instances where this phone has disappointed me quite a bit. All these issues can be resolved via software update. So hoping Samsung team might look into it and do the needful.Design is stunning and so is the S Pen.This phone has great aesthetics of how a super phone design should be. Now my mom uses my OnePlus 7T Pro phone and occasionally when I use it, it's too fast even being on Android 11. So, come on Samsung and fix the bugs. We have put so much of trust and money in this phone so we deserve the best experience from the phone of such a name.Rest, I will update my review after I get an OS update to see if the bugs are removed.Thanks!",4.0 out of 5 stars,Reviewed in India on 28 March 2022,3
What a bangar! Truly a flagship of flagships.,"There is not a single con I could think of after using it for 15 days rigorously. You are getting what you are paying for, the best smartphone right now.",5.0 out of 5 stars,Reviewed in India on 6 April 2022,3
Best smartphone by miles!,"This has been the best buys ever, Samsung has nailed it to the point where it's really getting way too much for any other brands to even catch up!",5.0 out of 5 stars,Reviewed in India on 28 March 2022,3
Amazing,"Its a fastest smartphone on galaxy so far, everything is perfectly designed by Samsung. Display is a best of this phone.Display- 10/10Battery - 8/10Camera- 10/10",5.0 out of 5 stars,Reviewed in India on 6 April 2022,3
Android doesn't get any better than this.,"I've always wanted to get a S Series flagship. I have always wanted to get a Note Series flagship. Now I have both of them in the S22 Ultra.After a long wait, Samsung finally merged the S and Note series which was inevitable and I am glad they did.The S22 Ultra is the phone to beat this year. Samsung launched the S series earlier than expected and we have already got a phone of the year contender 3 months into the year. Don't think it gets any better than this no matter what flagship any competition introduces.Before this, I was using One Plus 7 Pro and the S22 Ultra makes it feel like a Xiaomi phone. I was not ready to be blown away considering that OP7P is a pretty good phone to begin with. But it improves on every aspect of a 2-3 year old flagship and this is Android at it's peak (until Samsung comes out with another banger next year)It goes without saying that the camera on S22 Ultra is the highlight followed by the S-Pen. And the conversation cannot be considered over until we mention the 100x zoom. I am amazed every time I do comparison shots where I take a normal picture and then a 100x zoom and find a detail which is not possible to see with the naked eye. I'll let you be the judge after going through the pictures I have uploaded (the pigeon vs the park).The display puts other mobile based OLED screens to shame. It is difficult to describe in words and you will have to see it for yourself, but the colors, sharpness of the text, adaptive refresh rate, QHD+ resolution is a sight to behold if you don't care about the battery life (which I don't) and I chose to not make any compromises with my experience of using this phone.The S-Pen which a lot of people have said to be a gimmick is a very nice addition and I find myself using it more often than not while browsing internet or simply watching YouTube. I really like the ""Smart Select"" feature which enables you to take screenshots and crop pictures on the fly. Definitely been using it a lot more than I should.There are a lot more detailed reviews out there which would tell you the specs and other features, but you probably don't need to know all the technical aspects of it. All you need to know is this is a- Snapdragon version- Has an updated GPU (gaming performance has vastly improved if you are into mobile gaming)- S-Pen latency has vastly improved- 45W fast charging (get a charging brick from Samsung, or any reputed third party like Spigen)All in all, if money is not an object and you want a phone which provides an uncompromising experience. This is the way.",5.0 out of 5 stars,Reviewed in India on 11 March 2022,1
A great phone to restart broken relationship,"I have had my relationship broken with Samsung 12 years ago because of the unethical behaviour of their service center staff. The staff broke my phone after an argument when they were not able to fix an issue in the new phone even after 3 visits. And, Samsung did nothing even after filing a complaint.In last 12 years I have used 14 major flagship devices from different companies. But didn't bought any Samsung goods.Today, after 12 years I dicided to give second and last chance to Samsung. Pre-booked this phone. Hope this will be good experience now.Here is my observation after using this device a few days.Pros:1. Awesome build quality.2. Camera (and zoom) is next level3. Speakers are loud with quality sound.4. Good network modem. My iPhone 13 struggles to get network coverage inside the home but there are full signals in Samsung phone from the same network operator.5. S pen is great addition to the S series and it works really well and fast.6. Display is really smooth and awesome7. Very touch sensitive.8. One UI seems to be promising.9. And finally, it does include the Snapdragon processor in India unit this time instead their inferior Exynos processor which helps in improving battery life and image processing.Cons:1. Doesn't come up with charging adapter. In the name of environment they fool customers to buy chargers saperately to make some extra bucks.2. Having a case inside box would have been nice like OnePlus provides one.3. There was no screen protector applied to tne display. So if you want to protect screen from the day 1, buy 1 screen protector along with the phone.4. Slower than last gen OnePlus 9 pro (12GB - 256GB). I compared keeping them side by side and disappointed by the Samsung in terms of App installation speed and gaming performance.",4.0 out of 5 stars,Reviewed in India on 12 March 2022,1
Worth the amount it costs?,"Overheating is the only issue I can see on the product.Other than that its really good. S Pen is just awesome. Camera is one of the best you can get on the market. But battery life and overheating might put you in trouble if you are a heavy user.So go for it or not?That depends,if you want value for money then go for Pixel 6 Pro. This one its the best you can get for this heavy price. But according to features like S Pen and camera this one is also good. With the offer its perfect purchase.",4.0 out of 5 stars,Reviewed in India on 11 March 2022,1
